vendor,vendor_email,isTaxExempt
30A BEACH BOYZ,JESSE@30ABEACHBOYZ.COM,false
30A BLAZE,30ABLAZE@GMAIL.COM,false
BEACH BROTHERS,BEACHBROSBEACHSERVICE@GMAIL.COM,true
BEACH MADE EASY,ADAM@BEME30A.COM,false
BIG FISH BIKE RENTALS,INFO@BIGFISHBIKERENTALS.COM,true
BURKES BEACH SERVICES,BURKEBEACH1@GMAIL.COM,false
COASTAL 30A,SHORELINEBEACHSERVICE@GMAIL.COM,true
EMERALD COAST BEACH SERVICE,INFO@ECBEACHSERVICE.COM,true
EMERALD COAST PREMIER RENTALS,ROGER@EMERALDCOASTPREMIERRENTALS.COM,false
ICHILL 30A,BRENT@ICHILL30A.COM,true
LA DOLCE VITA,KRISTI@LDVBEACH.COM,false
LAID BACK,LBBEACHSERVICE@YAHOO.COM,true
PARADISE RENTALS,HEATHER@PARADISE30A.COM,true
REDFISH RENTALS AND BEACH SERVICES,WILLIAM@REDFISHRENTS.COM,true
SHORELINE,SHORELINEBEACHSERVICE@GMAIL.COM,true
SOUTH WALTON BEACH CHAIR GUYS,SOUTHWALTONBEACHCHAIRGUYS@GMAIL.COM,true
SOUTHWINDS,SOUTHWINDSBS@COX.NET,false
SWEET ESCAPES RENTALS,SWEETESCAPERENTALS@GMAIL.COM,false
TWILIGHT & THE BEACH CHAIR COMPANY,THEBEACHCHAIRCOMPANY@GMAIL.COM,true
VACAYZEN,ACCOUNTING@VACAYZEN.COM,true
VICTORY BEACH RENTALS,VICTORYBEACHRENTALS@GMAIL.COM,false
